Country Name,Cases,Deaths,Region,Total Recovered,New Deaths,New Cases,Serious/Critical,Active Cases,Total Cases per 1M Population
Albania,"274,791","3,496",,"270,869",0,0,2,426,"95,675"
Algeria,"265,761","6,874",,"178,344",0,0,6,"80,543","5,869"
Nigeria,"255,685","3,143",,"249,890",0,0,11,"2,652","1,187"
Zimbabwe,"247,524","5,468",,"241,362",0,0,12,694,"16,227"
Uzbekistan,"238,469","1,637",,"236,483",0,27,23,349,"6,943"
Montenegro,"234,619","2,713",,"231,297",0,0,6,609,"373,473"
Luxembourg,"233,966","1,058",,"221,501",0,0,1,"11,407","363,099"
Mozambique,"225,358","2,201",,"223,104",0,0,13,53,"6,863"
Laos,"205,975",732,,"7,660",0,"1,082",0,"197,583","27,588"
Kyrgyzstan,"200,983","2,991",,"196,386",0,0,131,"1,606","29,915"
China,"200,654","4,725",,"166,398",39,"1,580",236,"29,531",139
Iceland,"183,974",112,,"75,685",0,0,1,"108,177","532,886"
Maldives,"178,883",298,,"163,687",0,0,25,"14,898","320,737"
Afghanistan,"178,689","7,682",,"161,748",1,39,"1,124","9,259","4,411"
Uganda,"164,069","3,596",,"100,205",0,0,2,"60,268","3,394"
El Salvador,"162,089","4,127",,"150,662",0,0,8,"7,300","24,764"
Ghana,"161,124","1,445",,"159,655",0,0,1,24,"4,997"
Namibia,"158,332","4,023",,"153,662",0,0,0,647,"60,341"
Martinique,"147,519",918,,104,0,0,8,"146,497","393,657"
Trinidad and Tobago,"144,359","3,812",,"133,604",0,0,18,"6,943","102,552"
Brunei,"141,014",218,,"139,724",0,0,2,"1,072","316,857"
Guadeloupe,"140,130",854,,"2,250",0,0,19,"137,026","350,108"
Cambodia,"136,200","3,056",,"132,896",0,0,0,248,"7,948"
Rwanda,"129,764","1,458",,"45,522",0,0,0,"82,784","9,590"
Jamaica,"129,489","2,943",,"82,965",0,0,0,"43,581","43,387"
Cameroon,"119,780","1,927",,"117,791",0,0,13,62,"4,318"
Angola,"99,194","1,900",,"97,149",0,0,0,145,"2,858"
Malta,"90,595",688,,"84,646",1,196,4,"5,261","204,196"
DRC,"87,023","1,337",,"50,930",0,0,0,"34,756",921
Senegal,"85,984","1,966",,"84,001",0,0,1,17,"4,902"
Malawi,"85,747","2,633",,"81,938",0,0,67,"1,176","4,283"
Ivory Coast,"81,887",799,,"81,061",0,0,0,27,"2,972"
French Guiana,"80,422",394,,"11,254",0,0,1,"68,774","257,228"
Suriname,"79,302","1,327",,"49,396",0,0,0,"28,579","133,030"
Channel Islands,"73,609",166,,"72,059",0,0,0,"1,384","416,444"
French Polynesia,"72,648",648,,N/A,0,0,7,N/A,"255,948"
Eswatini,"70,284","1,397",,"68,764",0,0,11,123,"59,470"
Barbados,"67,256",389,,"63,424",0,0,0,"3,443","233,520"
Fiji,"64,524",862,,"62,677",0,0,0,985,"71,048"
Madagascar,"64,121","1,391",,"59,370",0,0,14,"3,360","2,213"
Guyana,"63,413","1,228",,"62,092",0,0,1,93,"79,925"
Sudan,"62,093","4,930",,N/A,0,0,0,N/A,"1,359"
New Caledonia,"60,457",312,,"60,064",0,0,9,81,"208,148"
Mauritania,"58,683",982,,"57,693",0,0,0,8,"12,050"
Bhutan,"57,771",20,,"53,080",0,431,3,"4,671","73,412"
Belize,"57,419",676,,"56,534",0,0,6,209,"139,823"
Taiwan,"56,468",856,,"23,729",0,"5,172",0,"31,883","2,363"
Cabo Verde,"56,004",401,,"55,538",0,0,23,65,"98,792"
Syria,"55,795","3,150",,"52,090",0,0,0,555,"3,054"
Gabon,"47,597",303,,"47,282",0,0,0,12,"20,512"
Papua New Guinea,"43,732",649,,"43,025",0,0,7,58,"4,726"
Seychelles,"42,079",165,,"41,260",0,0,0,654,"423,134"
Curaçao,"41,966",273,,"41,251",0,0,3,442,"253,872"
Andorra,"41,013",153,,"40,343",0,0,14,517,"529,282"
Burundi,"38,887",38,,773,0,0,0,"38,076","3,104"
Mauritius,"37,656",990,,"35,656",0,0,0,"1,010","29,521"
Mayotte,"37,038",187,,"2,964",0,0,0,"33,887","130,099"
Togo,"36,977",273,,"36,679",0,0,0,25,"4,285"
Guinea,"36,459",440,,"35,976",0,0,8,43,"2,647"
Faeroe Islands,"34,658",28,,"7,693",0,0,5,"26,937","704,460"
Aruba,"34,589",212,,"34,251",0,0,2,126,"321,507"
Tanzania,"33,864",803,,N/A,0,0,7,N/A,539
Bahamas,"33,463",789,,"32,310",0,0,11,364,"83,652"
Lesotho,"32,910",697,,"24,155",0,0,0,"8,058","15,146"
Mali,"30,727",731,,"29,795",0,0,0,201,"1,442"
Haiti,"30,640",835,,"29,389",0,0,0,416,"2,629"
Isle of Man,"28,416",87,,"26,794",0,0,0,"1,535","331,015"
Benin,"26,952",163,,"25,506",0,0,5,"1,283","2,123"
Somalia,"26,485","1,350",,"13,182",0,0,0,"11,953","1,587"
Congo,"24,079",385,,"20,178",0,0,0,"3,516","4,178"
Saint Lucia,"23,239",368,,"22,736",0,0,1,135,"125,520"
Timor-Leste,"22,860",130,,"22,714",0,0,0,16,"16,762"
Cayman Islands,"21,755",26,,"8,553",0,0,1,"13,176","324,145"
Burkina Faso,"20,853",382,,"20,439",0,0,0,32,951
Nicaragua,"18,491",225,,"4,225",0,0,0,"14,041","2,733"
Gibraltar,"17,706",102,,"16,579",0,0,0,"1,025","525,822"
South Sudan,"17,422",138,,"13,514",0,0,1,"3,770","1,524"
Tajikistan,"17,388",124,,"17,264",0,0,0,0,"1,752"
Liechtenstein,"17,103",85,,"16,831",1,12,0,187,"446,251"
San Marino,"16,140",114,,"15,662",0,0,4,364,"473,870"
Equatorial Guinea,"15,907",183,,"15,698",0,0,5,26,"10,704"
Djibouti,"15,611",189,,"15,411",0,0,0,11,"15,396"
CAR,"14,649",113,,"6,859",0,0,2,"7,677","2,941"
Grenada,"14,428",220,,"13,945",0,0,4,263,"127,159"
Bermuda,"13,143",131,,"12,719",0,0,0,293,"212,453"
Solomon Islands,"12,437",139,,"11,194",0,0,2,"1,104","17,339"
Dominica,"12,011",63,,"11,926",0,0,0,22,"166,107"
Gambia,"11,995",365,,"11,591",0,0,0,39,"4,724"
Greenland,"11,971",21,,"2,761",0,0,4,"9,189","210,209"
Yemen,"11,818","2,148",,"9,001",0,0,23,669,381
Monaco,"11,604",54,,"11,362",0,0,4,188,"291,969"
Saint Martin,"10,279",63,,"1,399",0,0,7,"8,817","257,903"
Sint Maarten,"9,990",86,,"9,841",0,0,10,63,"228,317"
Eritrea,"9,733",103,,"9,629",0,0,0,1,"2,678"
Caribbean Netherlands,"9,592",34,,"9,392",0,0,0,166,"359,749"
Tonga,"9,553",11,,"8,306",0,0,0,"1,236","88,571"
Niger,"8,914",309,,"8,507",0,0,1,98,346
Guinea-Bissau,"8,185",171,,"7,515",0,0,6,499,"3,989"
Comoros,"8,100",160,,"7,933",0,0,0,7,"8,970"
Sierra Leone,"7,681",125,,N/A,0,0,0,N/A,929
Antigua and Barbuda,"7,571",135,,"7,402",0,0,1,34,"76,172"
Liberia,"7,432",294,,"5,747",0,0,2,"1,391","1,410"
Chad,"7,396",193,,"4,874",0,0,0,"2,329",428
Samoa,"7,185",13,,"1,605",0,0,3,"5,567","35,783"
Vanuatu,"6,793",12,,"5,991",0,0,5,790,"21,222"
St. Vincent Grenadines,"6,779",106,,"6,641",0,0,0,32,"60,757"
British Virgin Islands,"6,296",62,,N/A,0,0,1,N/A,"205,792"
Sao Tome and Principe,"5,953",73,,"5,875",0,0,0,5,"26,282"
Turks and Caicos,"5,941",36,,"5,862",0,0,4,43,"149,791"
Saint Kitts and Nevis,"5,561",43,,"5,517",0,0,0,1,"103,215"
Cook Islands,"4,727",0,,"3,990",0,0,0,737,"268,686"
St. Barth,"4,432",6,,N/A,0,0,0,N/A,"446,279"
Palau,"4,396",6,,"3,879",0,0,1,511,"240,877"
Kiribati,"3,076",13,,"2,597",0,0,3,466,"25,058"
Anguilla,"2,731",9,,"2,716",0,0,4,6,"179,141"
Saint Pierre Miquelon,"2,641",1,,"2,449",0,0,1,191,"459,864"
Diamond Princess,712,13,,699,0,0,0,0,0
Wallis and Futuna,454,7,,438,0,0,0,9,"41,713"
Montserrat,183,2,,174,0,0,0,7,"36,622"
Falkland Islands,128,0,,N/A,0,0,0,N/A,"34,944"
Macao,82,0,,82,0,0,0,0,123
Vatican City,29,0,,29,0,0,0,0,"36,025"
Marshall Islands,15,0,,7,0,0,0,8,250
Western Sahara,10,1,,9,0,0,0,0,16
MS Zaandam,9,2,,7,0,0,0,0,0
Niue,8,0,,7,0,0,0,1,"4,860"
Nauru,3,0,,3,0,0,0,0,274
Saint Helena,2,0,,2,0,0,0,0,327
Micronesia,1,0,,1,0,0,0,0,9
USA,"82,649,779","1,018,316",,"80,434,925",0,0,"1,465","1,196,538","247,080"
India,"43,057,545","522,193",,"42,519,479",0,0,698,"15,873","30,657"
Brazil,"30,345,654","662,663",,"29,364,400",0,0,"8,318","318,591","140,954"
France,"28,244,977","145,020",,"25,852,832",0,0,"1,677","2,247,125","430,996"
Germany,"24,109,433","134,624",,"21,243,000",0,0,"1,980","2,731,809","286,106"
UK,"21,933,206","173,352",,"20,782,350",0,0,339,"977,504","320,054"
Russia,"18,137,137","374,902",,"17,474,628",168,"8,446","2,300","287,607","124,187"
S. Korea,"16,895,194","22,133",,N/A,109,"64,725",726,N/A,"329,028"
Italy,"16,079,209","162,609",,"14,684,371",0,0,409,"1,232,229","266,648"
Turkey,"15,016,270","98,676",,"14,854,475",0,0,975,"63,119","174,654"
Spain,"11,786,036","103,908",,"11,261,340",0,0,339,"420,788","251,906"
Vietnam,"10,563,502","43,013",,"9,086,075",9,"8,813",612,"1,434,414","106,789"
Argentina,"9,060,923","128,344",,"8,895,999",0,0,412,"36,580","197,215"
Netherlands,"8,035,603","22,206",,"7,643,520",0,0,94,"369,877","467,096"
Japan,"7,621,562","29,284",,"7,135,403",27,"43,721",195,"456,875","60,596"
Iran,"7,216,040","140,975",,"6,966,954",13,528,"1,046","108,111","83,972"
Colombia,"6,091,094","139,771",,"5,924,433",0,0,342,"26,890","117,448"
Indonesia,"6,043,768","156,067",,"5,868,251",0,0,"2,771","19,450","21,682"
Poland,"5,991,197","115,948",,"5,334,375",0,344,"1,588","540,874","158,616"
Mexico,"5,733,514","324,117",,"5,033,892",57,802,"4,798","375,505","43,641"
Australia,"5,689,377","6,991",,"5,274,197",21,"34,769",135,"408,189","218,537"
Ukraine,"4,997,224","108,306",,N/A,0,0,177,N/A,"115,517"
Malaysia,"4,427,067","35,491",,"4,310,599",0,0,89,"80,977","133,690"
Thailand,"4,165,874","27,778",,"3,954,945",126,"17,784","1,496","183,151","59,414"
Austria,"4,104,859","18,047",,"3,989,860",12,"5,810",121,"96,952","451,125"
Israel,"4,054,342","10,658",,"4,009,152",0,0,220,"34,532","434,735"
Belgium,"4,015,791","31,319",,"3,726,457",0,0,169,"258,015","343,798"
Czechia,"3,895,544","40,081",,"3,838,099",5,911,43,"17,364","362,550"
Portugal,"3,791,744","22,162",,N/A,0,0,61,N/A,"373,827"
South Africa,"3,759,689","100,298",,"3,632,572",0,0,175,"26,819","61,981"
Canada,"3,695,585","38,777",,"3,426,082",0,0,426,"230,726","96,391"
Philippines,"3,684,500","60,182",,"3,610,658",3,205,289,"13,660","32,835"
Switzerland,"3,579,867","13,816",,"3,378,507",0,0,90,"187,544","408,247"
Peru,"3,559,343","212,724",,N/A,0,0,356,N/A,"105,303"
Chile,"3,544,463","57,375",,"3,368,772",0,0,286,"118,316","182,588"
Greece,"3,277,557","28,867",,"3,151,717",0,0,277,"96,973","317,250"
Denmark,"2,959,040","6,072",,"2,929,091",0,0,15,"23,877","507,639"
Romania,"2,888,318","65,427",,"2,606,660",6,494,216,"216,231","151,968"
Sweden,"2,498,388","18,656",,"2,464,421",0,0,19,"15,311","244,630"
Iraq,"2,324,141","25,204",,"2,295,947",0,0,20,"2,990","55,534"
Serbia,"2,001,144","15,953",,"1,967,786",0,0,25,"17,405","230,710"
Bangladesh,"1,952,532","29,127",,"1,893,131",0,0,"1,297","30,274","11,646"
Hungary,"1,890,953","46,048",,"1,776,617",0,0,45,"68,288","196,645"
Slovakia,"1,774,808","19,839",,"1,730,712",10,"1,155",88,"24,257","324,794"
Jordan,"1,694,216","14,048",,"1,678,941",0,0,124,"1,227","163,125"
Georgia,"1,654,255","16,800",,"1,635,791",3,92,0,"1,664","416,129"
Pakistan,"1,527,856","30,369",,"1,493,998",0,105,186,"3,489","6,683"
Ireland,"1,509,536","6,996",,"1,415,949",0,0,41,"86,591","299,669"
Norway,"1,423,509","2,871",,N/A,0,0,20,N/A,"258,925"
Kazakhstan,"1,305,457","13,660",,"1,290,988",0,10,24,809,"68,056"
Hong Kong,"1,201,431","9,236",,N/A,0,0,115,N/A,"157,942"
Singapore,"1,180,124","1,325",,"1,109,387",0,0,9,"69,412","198,895"
Morocco,"1,164,670","16,065",,"1,148,154",0,0,293,451,"30,893"
Bulgaria,"1,152,892","36,849",,"959,542",0,0,105,"156,501","168,206"
Croatia,"1,117,175","15,778",,"1,096,829",0,0,22,"4,568","275,195"
Cuba,"1,101,486","8,523",,"1,091,603",0,0,23,"1,360","97,355"
Lebanon,"1,096,320","10,374",,"1,079,455",0,0,186,"6,491","161,931"
Lithuania,"1,054,618","9,063",,"1,016,510",9,427,31,"29,045","397,407"
Tunisia,"1,039,532","28,533",,N/A,0,0,29,N/A,"86,327"
Slovenia,"1,003,970","6,576",,"980,501",0,0,30,"16,893","482,805"
Finland,"1,000,472","3,638",,"46,000",0,0,31,"950,834","180,062"
Nepal,"978,743","11,951",,"966,523",0,11,0,269,"32,535"
Belarus,"977,434","6,922",,"928,536",0,0,0,"41,976","103,501"
Bolivia,"904,377","21,908",,"855,123",1,83,220,"27,346","75,614"
UAE,"897,136","2,302",,"879,787",0,244,0,"15,047","88,772"
Uruguay,"895,775","7,197",,"886,654",0,0,18,"1,924","256,268"
New Zealand,"884,289",636,,"824,272",9,"5,714",0,"59,381","176,784"
Ecuador,"868,053","35,581",,N/A,0,0,759,N/A,"47,888"
Costa Rica,"847,784","8,383",,"829,515",0,0,43,"9,886","163,725"
Guatemala,"841,341","17,496",,"821,185",0,0,5,"2,660","45,444"
Latvia,"817,316","5,743",,"803,135",0,322,9,"8,438","442,135"
Azerbaijan,"792,476","9,707",,"782,634",0,0,0,135,"76,908"
Panama,"771,486","8,182",,"759,832",0,0,8,"3,472","173,862"
Saudi Arabia,"753,332","9,076",,"740,467",0,0,45,"3,789","21,047"
Sri Lanka,"663,131","16,502",,"642,574",0,0,0,"4,055","30,736"
Paraguay,"649,034","18,795",,"624,673",0,0,5,"5,566","89,022"
Kuwait,"631,294","2,555",,"627,899",0,0,8,840,"143,981"
Myanmar,"612,733","19,434",,"591,609",0,0,0,"1,690","11,127"
Palestine,"581,816","5,353",,"575,899",0,0,17,564,"109,459"
Dominican Republic,"578,954","4,376",,"574,297",0,0,16,281,"52,421"
Estonia,"570,257","2,531",,"507,474",0,181,7,"60,252","429,364"
Bahrain,"565,830","1,475",,"560,795",0,0,3,"3,560","312,916"
Venezuela,"522,121","5,705",,"515,305",0,0,230,"1,111","18,456"
Moldova,"516,986","11,489",,"504,142",0,0,49,"1,355","128,698"
Egypt,"515,645","24,613",,"442,182",0,0,122,"48,850","4,873"
Libya,"501,862","6,429",,"490,900",0,0,101,"4,533","71,288"
Cyprus,"470,481","1,011",,"124,370",0,0,60,"345,100","384,623"
Ethiopia,"470,417","7,510",,"454,967",0,0,15,"7,940","3,917"
Mongolia,"469,580","2,177",,"313,256",0,30,192,"154,147","139,194"
Armenia,"422,825","8,622",,"410,558",0,3,0,"3,645","142,210"
Honduras,"422,275","10,892",,"131,100",0,0,105,"280,283","41,445"
Oman,"388,995","4,257",,"384,055",0,0,2,683,"72,833"
Bosnia and Herzegovina,"376,699","15,756",,"192,218",0,0,0,"168,725","116,122"
Réunion,"374,295",742,,"355,605",0,0,10,"17,948","412,744"
Qatar,"364,089",677,,"362,568",0,0,1,844,"129,670"
Kenya,"323,696","5,649",,"317,909",0,0,0,138,"5,790"
Zambia,"318,984","3,974",,"314,075",0,0,0,935,"16,517"
North Macedonia,"309,062","9,271",,"299,064",0,0,0,727,"148,358"
Botswana,"305,859","2,688",,"303,026",0,0,1,145,"125,491"
Albania,"274,791","3,496",,"270,869",0,0,2,426,"95,675"
Algeria,"265,761","6,874",,"178,344",0,0,6,"80,543","5,869"
Nigeria,"255,685","3,143",,"249,890",0,0,11,"2,652","1,187"
Zimbabwe,"247,524","5,468",,"241,362",0,0,12,694,"16,227"
Uzbekistan,"238,469","1,637",,"236,483",0,27,23,349,"6,943"
Montenegro,"234,619","2,713",,"231,297",0,0,6,609,"373,473"
Luxembourg,"233,966","1,058",,"221,501",0,0,1,"11,407","363,099"
Mozambique,"225,358","2,201",,"223,104",0,0,13,53,"6,863"
Laos,"205,975",732,,"7,660",0,"1,082",0,"197,583","27,588"
Kyrgyzstan,"200,983","2,991",,"196,386",0,0,131,"1,606","29,915"
China,"200,654","4,725",,"166,398",39,"1,580",236,"29,531",139
Iceland,"183,974",112,,"75,685",0,0,1,"108,177","532,886"
Maldives,"178,883",298,,"163,687",0,0,25,"14,898","320,737"
Afghanistan,"178,689","7,682",,"161,748",1,39,"1,124","9,259","4,411"
Uganda,"164,069","3,596",,"100,205",0,0,2,"60,268","3,394"
El Salvador,"162,089","4,127",,"150,662",0,0,8,"7,300","24,764"
Ghana,"161,124","1,445",,"159,655",0,0,1,24,"4,997"
Namibia,"158,332","4,023",,"153,662",0,0,0,647,"60,341"
Martinique,"147,519",918,,104,0,0,8,"146,497","393,657"
Trinidad and Tobago,"144,359","3,812",,"133,604",0,0,18,"6,943","102,552"
Brunei,"141,014",218,,"139,724",0,0,2,"1,072","316,857"
Guadeloupe,"140,130",854,,"2,250",0,0,19,"137,026","350,108"
Cambodia,"136,200","3,056",,"132,896",0,0,0,248,"7,948"
Rwanda,"129,764","1,458",,"45,522",0,0,0,"82,784","9,590"
Jamaica,"129,489","2,943",,"82,965",0,0,0,"43,581","43,387"
Cameroon,"119,780","1,927",,"117,791",0,0,13,62,"4,318"
Angola,"99,194","1,900",,"97,149",0,0,0,145,"2,858"
Malta,"90,595",688,,"84,646",1,196,4,"5,261","204,196"
DRC,"87,023","1,337",,"50,930",0,0,0,"34,756",921
Senegal,"85,984","1,966",,"84,001",0,0,1,17,"4,902"
Malawi,"85,747","2,633",,"81,938",0,0,67,"1,176","4,283"
Ivory Coast,"81,887",799,,"81,061",0,0,0,27,"2,972"
French Guiana,"80,422",394,,"11,254",0,0,1,"68,774","257,228"
Suriname,"79,302","1,327",,"49,396",0,0,0,"28,579","133,030"
Channel Islands,"73,609",166,,"72,059",0,0,0,"1,384","416,444"
French Polynesia,"72,648",648,,N/A,0,0,7,N/A,"255,948"
Eswatini,"70,284","1,397",,"68,764",0,0,11,123,"59,470"
Barbados,"67,256",389,,"63,424",0,0,0,"3,443","233,520"
Fiji,"64,524",862,,"62,677",0,0,0,985,"71,048"
Madagascar,"64,121","1,391",,"59,370",0,0,14,"3,360","2,213"
Guyana,"63,413","1,228",,"62,092",0,0,1,93,"79,925"
Sudan,"62,093","4,930",,N/A,0,0,0,N/A,"1,359"
New Caledonia,"60,457",312,,"60,064",0,0,9,81,"208,148"
Mauritania,"58,683",982,,"57,693",0,0,0,8,"12,050"
Bhutan,"57,771",20,,"53,080",0,431,3,"4,671","73,412"
Belize,"57,419",676,,"56,534",0,0,6,209,"139,823"
Taiwan,"56,468",856,,"23,729",0,"5,172",0,"31,883","2,363"
Cabo Verde,"56,004",401,,"55,538",0,0,23,65,"98,792"
Syria,"55,795","3,150",,"52,090",0,0,0,555,"3,054"
Gabon,"47,597",303,,"47,282",0,0,0,12,"20,512"
Papua New Guinea,"43,732",649,,"43,025",0,0,7,58,"4,726"
Seychelles,"42,079",165,,"41,260",0,0,0,654,"423,134"
Curaçao,"41,966",273,,"41,251",0,0,3,442,"253,872"
Andorra,"41,013",153,,"40,343",0,0,14,517,"529,282"
Burundi,"38,887",38,,773,0,0,0,"38,076","3,104"
Mauritius,"37,656",990,,"35,656",0,0,0,"1,010","29,521"
Mayotte,"37,038",187,,"2,964",0,0,0,"33,887","130,099"
Togo,"36,977",273,,"36,679",0,0,0,25,"4,285"
Guinea,"36,459",440,,"35,976",0,0,8,43,"2,647"
Faeroe Islands,"34,658",28,,"7,693",0,0,5,"26,937","704,460"
Aruba,"34,589",212,,"34,251",0,0,2,126,"321,507"
Tanzania,"33,864",803,,N/A,0,0,7,N/A,539
Bahamas,"33,463",789,,"32,310",0,0,11,364,"83,652"
Lesotho,"32,910",697,,"24,155",0,0,0,"8,058","15,146"
Mali,"30,727",731,,"29,795",0,0,0,201,"1,442"
Haiti,"30,640",835,,"29,389",0,0,0,416,"2,629"
Isle of Man,"28,416",87,,"26,794",0,0,0,"1,535","331,015"
Benin,"26,952",163,,"25,506",0,0,5,"1,283","2,123"
Somalia,"26,485","1,350",,"13,182",0,0,0,"11,953","1,587"
Congo,"24,079",385,,"20,178",0,0,0,"3,516","4,178"
Saint Lucia,"23,239",368,,"22,736",0,0,1,135,"125,520"
Timor-Leste,"22,860",130,,"22,714",0,0,0,16,"16,762"
Cayman Islands,"21,755",26,,"8,553",0,0,1,"13,176","324,145"
Burkina Faso,"20,853",382,,"20,439",0,0,0,32,951
Nicaragua,"18,491",225,,"4,225",0,0,0,"14,041","2,733"
Gibraltar,"17,706",102,,"16,579",0,0,0,"1,025","525,822"
South Sudan,"17,422",138,,"13,514",0,0,1,"3,770","1,524"
Tajikistan,"17,388",124,,"17,264",0,0,0,0,"1,752"
Liechtenstein,"17,103",85,,"16,831",1,12,0,187,"446,251"
San Marino,"16,140",114,,"15,662",0,0,4,364,"473,870"
Equatorial Guinea,"15,907",183,,"15,698",0,0,5,26,"10,704"
Djibouti,"15,611",189,,"15,411",0,0,0,11,"15,396"
CAR,"14,649",113,,"6,859",0,0,2,"7,677","2,941"
Grenada,"14,428",220,,"13,945",0,0,4,263,"127,159"
Bermuda,"13,143",131,,"12,719",0,0,0,293,"212,453"
Solomon Islands,"12,437",139,,"11,194",0,0,2,"1,104","17,339"
Dominica,"12,011",63,,"11,926",0,0,0,22,"166,107"
Gambia,"11,995",365,,"11,591",0,0,0,39,"4,724"
Greenland,"11,971",21,,"2,761",0,0,4,"9,189","210,209"
Yemen,"11,818","2,148",,"9,001",0,0,23,669,381
Monaco,"11,604",54,,"11,362",0,0,4,188,"291,969"
Saint Martin,"10,279",63,,"1,399",0,0,7,"8,817","257,903"
Sint Maarten,"9,990",86,,"9,841",0,0,10,63,"228,317"
Eritrea,"9,733",103,,"9,629",0,0,0,1,"2,678"
Caribbean Netherlands,"9,592",34,,"9,392",0,0,0,166,"359,749"
Tonga,"9,553",11,,"8,306",0,0,0,"1,236","88,571"
Niger,"8,914",309,,"8,507",0,0,1,98,346
Guinea-Bissau,"8,185",171,,"7,515",0,0,6,499,"3,989"
Comoros,"8,100",160,,"7,933",0,0,0,7,"8,970"
Sierra Leone,"7,681",125,,N/A,0,0,0,N/A,929
Antigua and Barbuda,"7,571",135,,"7,402",0,0,1,34,"76,172"
Liberia,"7,432",294,,"5,747",0,0,2,"1,391","1,410"
Chad,"7,396",193,,"4,874",0,0,0,"2,329",428
Samoa,"7,185",13,,"1,605",0,0,3,"5,567","35,783"
Vanuatu,"6,793",12,,"5,991",0,0,5,790,"21,222"
St. Vincent Grenadines,"6,779",106,,"6,641",0,0,0,32,"60,757"
British Virgin Islands,"6,296",62,,N/A,0,0,1,N/A,"205,792"
Sao Tome and Principe,"5,953",73,,"5,875",0,0,0,5,"26,282"
Turks and Caicos,"5,941",36,,"5,862",0,0,4,43,"149,791"
Saint Kitts and Nevis,"5,561",43,,"5,517",0,0,0,1,"103,215"
Cook Islands,"4,727",0,,"3,990",0,0,0,737,"268,686"
St. Barth,"4,432",6,,N/A,0,0,0,N/A,"446,279"
Palau,"4,396",6,,"3,879",0,0,1,511,"240,877"
Kiribati,"3,076",13,,"2,597",0,0,3,466,"25,058"
Anguilla,"2,731",9,,"2,716",0,0,4,6,"179,141"
Saint Pierre Miquelon,"2,641",1,,"2,449",0,0,1,191,"459,864"
Diamond Princess,712,13,,699,0,0,0,0,0
Wallis and Futuna,454,7,,438,0,0,0,9,"41,713"
Montserrat,183,2,,174,0,0,0,7,"36,622"
Falkland Islands,128,0,,N/A,0,0,0,N/A,"34,944"
Macao,82,0,,82,0,0,0,0,123
Vatican City,29,0,,29,0,0,0,0,"36,025"
Marshall Islands,15,0,,7,0,0,0,8,250
Western Sahara,10,1,,9,0,0,0,0,16
MS Zaandam,9,2,,7,0,0,0,0,0
Niue,8,0,,7,0,0,0,1,"4,860"
Nauru,3,0,,3,0,0,0,0,274
Saint Helena,2,0,,2,0,0,0,0,327
Micronesia,1,0,,1,0,0,0,0,9
